Entity,Code,Year,cumulative
Australia,AUS,1982,5525399400
Australia,AUS,1983,5750184413
Australia,AUS,1984,5986545606
Australia,AUS,1985,6227533578
Australia,AUS,1986,6467255797
Australia,AUS,1987,6723106021
Australia,AUS,1988,6983984817
Australia,AUS,1989,7261470424
Australia,AUS,1990,7539894800
Australia,AUS,1991,7819767164
Australia,AUS,1992,8104679288
Australia,AUS,1993,8393914145
Australia,AUS,1994,8687928755
Australia,AUS,1995,8993338555
Australia,AUS,1996,9305699765
Australia,AUS,1997,9626494461
Australia,AUS,1998,9961178567
Australia,AUS,1999,10305241904
Australia,AUS,2000,10655436485
Australia,AUS,2001,11013105228
Australia,AUS,2002,11375314322
Australia,AUS,2003,11745040157
Australia,AUS,2004,12128245102
Australia,AUS,2005,12514760314
Australia,AUS,2006,12907442187
Australia,AUS,2007,13307857916
Australia,AUS,2008,13712906454
Australia,AUS,2009,14121579085
Australia,AUS,2010,14528331858
Australia,AUS,2011,14932578429
Australia,AUS,2012,15339724486
Australia,AUS,2013,15737888284
Australia,AUS,2014,16131352524
Australia,AUS,2015,16534347977
Australia,AUS,2016,16947717900
Australia,AUS,2017,17360810555
China,CHN,1900,95264
China,CHN,1901,95264
China,CHN,1902,190528
China,CHN,1903,2154432
China,CHN,1904,4242912
China,CHN,1905,6540240
China,CHN,1906,23651120
China,CHN,1907,40490864
China,CHN,1908,63222320
China,CHN,1909,84059488
China,CHN,1910,102808176
China,CHN,1911,130654576
China,CHN,1912,140441120
China,CHN,1913,151198624
China,CHN,1914,166305296
China,CHN,1915,182393920
China,CHN,1916,200358512
China,CHN,1917,220210064
China,CHN,1918,241252416
China,CHN,1919,265508096
China,CHN,1920,292277280
China,CHN,1921,317566208
China,CHN,1922,344199824
China,CHN,1923,376351424
China,CHN,1924,411445216
China,CHN,1925,444666704
China,CHN,1926,474257168
China,CHN,1927,507782768
China,CHN,1928,541898272
China,CHN,1929,577717536
China,CHN,1930,615639936
China,CHN,1931,655899968
China,CHN,1932,694500208
China,CHN,1933,736716816
China,CHN,1934,785990288
China,CHN,1935,843617680
China,CHN,1936,908657344
China,CHN,1937,969234256
China,CHN,1938,1024538672
China,CHN,1939,1091696128
China,CHN,1940,1177796464
China,CHN,1941,1285411808
China,CHN,1942,1399281600
China,CHN,1943,1496586448
China,CHN,1944,1594451888
China,CHN,1945,1644802576
China,CHN,1946,1676078480
China,CHN,1947,1709666368
China,CHN,1948,1733519008
China,CHN,1949,1792828176
China,CHN,1950,1871475936
China,CHN,1951,1973199568
China,CHN,1952,2101421248
China,CHN,1953,2235523648
China,CHN,1954,2396779952
China,CHN,1955,2587670688
China,CHN,1956,2804018896
China,CHN,1957,3060366992
China,CHN,1958,3585747952
China,CHN,1959,4305900099
China,CHN,1960,5084879564
China,CHN,1961,5635838102
China,CHN,1962,6075180207
China,CHN,1963,6510697811
China,CHN,1964,6946401541
China,CHN,1965,7421082166
China,CHN,1966,7942541079
China,CHN,1967,8374764636
China,CHN,1968,8842570279
China,CHN,1969,9418514950
China,CHN,1970,10188682140
China,CHN,1971,11062698491
China,CHN,1972,11991592449
China,CHN,1973,12957239047
China,CHN,1974,13942324263
China,CHN,1975,15084426169
China,CHN,1976,16275390704
China,CHN,1977,17579793492
China,CHN,1978,19035050998
China,CHN,1979,20522164083
China,CHN,1980,21981050821
China,CHN,1981,23423833119
China,CHN,1982,24994301443
China,CHN,1983,26650111926
China,CHN,1984,28452429021
China,CHN,1985,30404202249
China,CHN,1986,32456444261
China,CHN,1987,34647497268
China,CHN,1988,36995260762
China,CHN,1989,39382145760
China,CHN,1990,41802447868
China,CHN,1991,44341371836
China,CHN,1992,46998484242
China,CHN,1993,49834279715
China,CHN,1994,52844521924
China,CHN,1995,56109578888
China,CHN,1996,59517925478
China,CHN,1997,62932474765
China,CHN,1998,66198377385
China,CHN,1999,69456512272
China,CHN,2000,72805807048
China,CHN,2001,76231951110
China,CHN,2002,80014390407
China,CHN,2003,84466700703
China,CHN,2004,89592595120
China,CHN,2005,95363763560
China,CHN,2006,101741511576
China,CHN,2007,108603262228
China,CHN,2008,115978452135
China,CHN,2009,123737263903
China,CHN,2010,132237806598
China,CHN,2011,141626005832
China,CHN,2012,151259905135
China,CHN,2013,161056432295
China,CHN,2014,170876792787
China,CHN,2015,180593260627
China,CHN,2016,190297740059
China,CHN,2017,200136494087
France,FRA,1900,3710463184
France,FRA,1901,3835467872
France,FRA,1902,3953129904
France,FRA,1903,4082472768
France,FRA,1904,4208470400
France,FRA,1905,4335896992
France,FRA,1906,4472465264
France,FRA,1907,4618061632
France,FRA,1908,4764775520
France,FRA,1909,4914871280
France,FRA,1910,5065483664
France,FRA,1911,5222390800
France,FRA,1912,5380968720
France,FRA,1913,5552081184
France,FRA,1914,5670432048
France,FRA,1915,5773665248
France,FRA,1916,5883354416
France,FRA,1917,6004958912
France,FRA,1918,6113409648
France,FRA,1919,6229551120
France,FRA,1920,6381328656
France,FRA,1921,6519237952
France,FRA,1922,6682388544
France,FRA,1923,6866577824
France,FRA,1924,7073212768
France,FRA,1925,7287040144
France,FRA,1926,7500772256
France,FRA,1927,7713811872
France,FRA,1928,7925448176
France,FRA,1929,8159753648
France,FRA,1930,8397408016
France,FRA,1931,8614921376
France,FRA,1932,8806717120
France,FRA,1933,9006122992
France,FRA,1934,9207492768
France,FRA,1935,9402882896
France,FRA,1936,9600980720
France,FRA,1937,9818702928
France,FRA,1938,10020501392
France,FRA,1939,10215118416
France,FRA,1940,10352855504
France,FRA,1941,10472778224
France,FRA,1942,10595284064
France,FRA,1943,10720541568
France,FRA,1944,10800534016
France,FRA,1945,10907706016
France,FRA,1946,11072959744
France,FRA,1947,11256599424
France,FRA,1948,11453121728
France,FRA,1949,11682198672
France,FRA,1950,11884506432
France,FRA,1951,12113268272
France,FRA,1952,12340289712
France,FRA,1953,12554875536
France,FRA,1954,12781266768
France,FRA,1955,13020291472
France,FRA,1956,13288837024
France,FRA,1957,13566385024
France,FRA,1958,13832592944
France,FRA,1959,14094882429
France,FRA,1960,14366243265
France,FRA,1961,14647616603
France,FRA,1962,14946483143
France,FRA,1963,15280709560
France,FRA,1964,15626247642
France,FRA,1965,15978359246
France,FRA,1966,16325964020
France,FRA,1967,16698439323
France,FRA,1968,17083540361
France,FRA,1969,17497299830
France,FRA,1970,17936924888
France,FRA,1971,18400067619
France,FRA,1972,18881678943
France,FRA,1973,19399257249
France,FRA,1974,19899276158
France,FRA,1975,20347082121
France,FRA,1976,20853765719
France,FRA,1977,21335752479
France,FRA,1978,21842580752
France,FRA,1979,22372962840
France,FRA,1980,22879160985
France,FRA,1981,23334773206
France,FRA,1982,23772783900
France,FRA,1983,24196736027
France,FRA,1984,24604036997
France,FRA,1985,25006496276
France,FRA,1986,25393917395
France,FRA,1987,25773610048
France,FRA,1988,26148268467
France,FRA,1989,26541209589
France,FRA,1990,26944311311
France,FRA,1991,27372960765
France,FRA,1992,27791405931
France,FRA,1993,28190050736
France,FRA,1994,28583445652
France,FRA,1995,28984009504
France,FRA,1996,29400199056
France,FRA,1997,29809648935
France,FRA,1998,30239437901
France,FRA,1999,30665112551
France,FRA,2000,31085765260
France,FRA,2001,31511647721
France,FRA,2002,31932567219
France,FRA,2003,32360569979
France,FRA,2004,32789497726
France,FRA,2005,33222136998
France,FRA,2006,33644238253
France,FRA,2007,34057136609
France,FRA,2008,34463927432
France,FRA,2009,34850869522
France,FRA,2010,35248769990
France,FRA,2011,35621562606
France,FRA,2012,35995675228
France,FRA,2013,36369933830
France,FRA,2014,36713506462
France,FRA,2015,37061670133
France,FRA,2016,37411774820
France,FRA,2017,37768075471
Germany,DEU,1900,6390855056
Germany,DEU,1901,6716412448
Germany,DEU,1902,7035601808
Germany,DEU,1903,7379200736
Germany,DEU,1904,7735323216
Germany,DEU,1905,8117646960
Germany,DEU,1906,8479584208
Germany,DEU,1907,8921766720
Germany,DEU,1908,9368408320
Germany,DEU,1909,9813980032
Germany,DEU,1910,10259346560
Germany,DEU,1911,10717932800
Germany,DEU,1912,11217053872
Germany,DEU,1913,11752137104
Germany,DEU,1914,12250063712
Germany,DEU,1915,12712969808
Germany,DEU,1916,13213666400
Germany,DEU,1917,13738244944
Germany,DEU,1918,14241667552
Germany,DEU,1919,14629095248
Germany,DEU,1920,15058303536
Germany,DEU,1921,15531483488
Germany,DEU,1922,15986944336
Germany,DEU,1923,16318873424
Germany,DEU,1924,16770666608
Germany,DEU,1925,17228732560
Germany,DEU,1926,17641969472
Germany,DEU,1927,18123012368
Germany,DEU,1928,18627900576
Germany,DEU,1929,19166871312
Germany,DEU,1930,19628604928
Germany,DEU,1931,20014200624
Germany,DEU,1932,20361518512
Germany,DEU,1933,20726372304
Germany,DEU,1934,21135018224
Germany,DEU,1935,21587386656
Germany,DEU,1936,22087068320
Germany,DEU,1937,22650631824
Germany,DEU,1938,23251967504
Germany,DEU,1939,23900649392
Germany,DEU,1940,24555017808
Germany,DEU,1941,25215856848
Germany,DEU,1942,25883785728
Germany,DEU,1943,26563252544
Germany,DEU,1944,27163525664
Germany,DEU,1945,27279590192
Germany,DEU,1946,27551286784
Germany,DEU,1947,27868959248
Germany,DEU,1948,28246801920
Germany,DEU,1949,28678989040
Germany,DEU,1950,29189721328
Germany,DEU,1951,29766640112
Germany,DEU,1952,30377681728
Germany,DEU,1953,31001246896
Germany,DEU,1954,31661056352
Germany,DEU,1955,32384641392
Germany,DEU,1956,33150923024
Germany,DEU,1957,33928922128
Germany,DEU,1958,34685395232
Germany,DEU,1959,35441300416
Germany,DEU,1960,36255367936
Germany,DEU,1961,37090338576
Germany,DEU,1962,37973644704
Germany,DEU,1963,38919282800
Germany,DEU,1964,39888355840
Germany,DEU,1965,40848620624
Germany,DEU,1966,41800209056
Germany,DEU,1967,42736591888
Germany,DEU,1968,43721548368
Germany,DEU,1969,44773724592
Germany,DEU,1970,45799934048
Germany,DEU,1971,46837589840
Germany,DEU,1972,47879745024
Germany,DEU,1973,48966362848
Germany,DEU,1974,50030091664
Germany,DEU,1975,51033694240
Germany,DEU,1976,52125965616
Germany,DEU,1977,53180168032
Germany,DEU,1978,54261183600
Germany,DEU,1979,55381235424
Germany,DEU,1980,56483549824
Germany,DEU,1981,57534381360
Germany,DEU,1982,58552500704
Germany,DEU,1983,59566706896
Germany,DEU,1984,60602622288
Germany,DEU,1985,61649368464
Germany,DEU,1986,62699727344
Germany,DEU,1987,63735159088
Germany,DEU,1988,64767425136
Germany,DEU,1989,65783774768
Germany,DEU,1990,66796676576
Germany,DEU,1991,67811648862
Germany,DEU,1992,68778354691
Germany,DEU,1993,69735348871
Germany,DEU,1994,70675756860
Germany,DEU,1995,71615843606
Germany,DEU,1996,72576017905
Germany,DEU,1997,73508365264
Germany,DEU,1998,74432769794
Germany,DEU,1999,75329652478
Germany,DEU,2000,76230612569
Germany,DEU,2001,77148089397
Germany,DEU,2002,78049044496
Germany,DEU,2003,78951014361
Germany,DEU,2004,79839010870
Germany,DEU,2005,80706234376
Germany,DEU,2006,81584981507
Germany,DEU,2007,82437077670
Germany,DEU,2008,83291498632
Germany,DEU,2009,84081462154
Germany,DEU,2010,84915147072
Germany,DEU,2011,85725949397
Germany,DEU,2012,86541146806
Germany,DEU,2013,87373789801
Germany,DEU,2014,88167425644
Germany,DEU,2015,88964503810
Germany,DEU,2016,89766256817
Germany,DEU,2017,90565630028
Middle East,,1900,11068944
Middle East,,1901,12017920
Middle East,,1902,13065824
Middle East,,1903,14271280
Middle East,,1904,15637952
Middle East,,1905,17169504
Middle East,,1906,18752352
Middle East,,1907,20631984
Middle East,,1908,22354064
Middle East,,1909,24310640
Middle East,,1910,26193936
Middle East,,1911,28557216
Middle East,,1912,30806912
Middle East,,1913,33697808
Middle East,,1914,36533744
Middle East,,1915,38970304
Middle East,,1916,41487472
Middle East,,1917,44678816
Middle East,,1918,48584640
Middle East,,1919,53842480
Middle East,,1920,60679504
Middle East,,1921,68776944
Middle East,,1922,79014160
Middle East,,1923,92061664
Middle East,,1924,108018384
Middle East,,1925,124586992
Middle East,,1926,142654176
Middle East,,1927,162769536
Middle East,,1928,183863184
Middle East,,1929,204806608
Middle East,,1930,227702944
Middle East,,1931,249983728
Middle East,,1932,274521536
Middle East,,1933,301734064
Middle East,,1934,334083520
Middle East,,1935,369770880
Middle East,,1936,409103920
Middle East,,1937,454768352
Middle East,,1938,500949408
Middle East,,1939,553073472
Middle East,,1940,598595008
Middle East,,1941,634601136
Middle East,,1942,682071920
Middle East,,1943,734511088
Middle East,,1944,802218144
Middle East,,1945,888377104
Middle East,,1946,1001184336
Middle East,,1947,1135253760
Middle East,,1948,1243880368
Middle East,,1949,1361597360
Middle East,,1950,1378693584
Middle East,,1951,1404806912
Middle East,,1952,1428087968
Middle East,,1953,1455648576
Middle East,,1954,1488837088
Middle East,,1955,1539557840
Middle East,,1956,1599504544
Middle East,,1957,1662100320
Middle East,,1958,1731412208
Middle East,,1959,1802179946
Middle East,,1960,1892455602
Middle East,,1961,1986939411
Middle East,,1962,2096234692
Middle East,,1963,2219827860
Middle East,,1964,2364596988
Middle East,,1965,2537392060
Middle East,,1966,2736343011
Middle East,,1967,2941881864
Middle East,,1968,3177839025
Middle East,,1969,3446301815
Middle East,,1970,3731661912
Middle East,,1971,4066093934
Middle East,,1972,4426931504
Middle East,,1973,4855439043
Middle East,,1974,5299163557
Middle East,,1975,5733617953
Middle East,,1976,6241636793
Middle East,,1977,6775937801
Middle East,,1978,7312205641
Middle East,,1979,7882233496
Middle East,,1980,8436663128
Middle East,,1981,8988308410
Middle East,,1982,9552166418
Middle East,,1983,10146255270
Middle East,,1984,10768782500
Middle East,,1985,11439674228
Middle East,,1986,12153270686
Middle East,,1987,12882883871
Middle East,,1988,13660026606
Middle East,,1989,14481709509
Middle East,,1990,15309183264
Middle East,,1991,16215423788
Middle East,,1992,17190925124
Middle East,,1993,18248802383
Middle East,,1994,19354139144
Middle East,,1995,20427119742
Middle East,,1996,21509962999
Middle East,,1997,22573316451
Middle East,,1998,23715831384
Middle East,,1999,24950588135
Middle East,,2000,26310847287
Middle East,,2001,27690296821
Middle East,,2002,29088200125
Middle East,,2003,30577391247
Middle East,,2004,32198107889
Middle East,,2005,33882410934
Middle East,,2006,35687146925
Middle East,,2007,37489084913
Middle East,,2008,39428477552
Middle East,,2009,41444882020
Middle East,,2010,43547146140
Middle East,,2011,45704106288
Middle East,,2012,48012211196
Middle East,,2013,50289408635
Middle East,,2014,52724475683
Middle East,,2015,55234106667
Middle East,,2016,57801288093
Middle East,,2017,60473230861
Poland,POL,1900,1335344800
Poland,POL,1901,1402242112
Poland,POL,1902,1467732448
Poland,POL,1903,1536219936
Poland,POL,1904,1605601440
Poland,POL,1905,1680486272
Poland,POL,1906,1759178000
Poland,POL,1907,1846373872
Poland,POL,1908,1939395504
Poland,POL,1909,2034930640
Poland,POL,1910,2129476496
Poland,POL,1911,2229078672
Poland,POL,1912,2340013600
Poland,POL,1913,2456221024
Poland,POL,1914,2553225424
Poland,POL,1915,2647969136
Poland,POL,1916,2756745968
Poland,POL,1917,2877628656
Poland,POL,1918,2979154432
Poland,POL,1919,2981884112
Poland,POL,1920,3058263856
Poland,POL,1921,3133210976
Poland,POL,1922,3204981408
Poland,POL,1923,3257530496
Poland,POL,1924,3305367680
Poland,POL,1925,3353443024
Poland,POL,1926,3401573328
Poland,POL,1927,3462241840
Poland,POL,1928,3525134400
Poland,POL,1929,3597828160
Poland,POL,1930,3654396656
Poland,POL,1931,3709224752
Poland,POL,1932,3751203200
Poland,POL,1933,3794409088
Poland,POL,1934,3839626512
Poland,POL,1935,3885778256
Poland,POL,1936,3935678272
Poland,POL,1937,3992019600
Poland,POL,1938,4051962640
Poland,POL,1939,4103863200
Poland,POL,1940,4271110144
Poland,POL,1941,4435913200
Poland,POL,1942,4617526688
Poland,POL,1943,4815313072
Poland,POL,1944,5004353488
Poland,POL,1945,5063812880
Poland,POL,1946,5168412752
Poland,POL,1947,5259965120
Poland,POL,1948,5348897728
Poland,POL,1949,5454332992
Poland,POL,1950,5566466048
Poland,POL,1951,5688609152
Poland,POL,1952,5816662288
Poland,POL,1953,5955868640
Poland,POL,1954,6103450896
Poland,POL,1955,6257668656
Poland,POL,1956,6424102192
Poland,POL,1957,6602802800
Poland,POL,1958,6779557824
Poland,POL,1959,6969217955
Poland,POL,1960,7168795028
Poland,POL,1961,7376030435
Poland,POL,1962,7592637610
Poland,POL,1963,7823636443
Poland,POL,1964,8066516923
Poland,POL,1965,8313497785
Poland,POL,1966,8565928777
Poland,POL,1967,8824954235
Poland,POL,1968,9100755247
Poland,POL,1969,9394120555
Poland,POL,1970,9698263953
Poland,POL,1971,10011144763
Poland,POL,1972,10340651135
Poland,POL,1973,10676241085
Poland,POL,1974,11022477657
Poland,POL,1975,11397257725
Poland,POL,1976,11795376436
Poland,POL,1977,12213331370
Poland,POL,1978,12644201396
Poland,POL,1979,13085509991
Poland,POL,1980,13548839033
Poland,POL,1981,13957835960
Poland,POL,1982,14378806354
Poland,POL,1983,14799830082
Poland,POL,1984,15232297391
Poland,POL,1985,15676805217
Poland,POL,1986,16128653839
Poland,POL,1987,16592386426
Poland,POL,1988,17036616325
Poland,POL,1989,17458791423
Poland,POL,1990,17834830129
Poland,POL,1991,18208208329
Poland,POL,1992,18571927257
Poland,POL,1993,18936492601
Poland,POL,1994,19296103678
Poland,POL,1995,19657407529
Poland,POL,1996,20032712173
Poland,POL,1997,20399282289
Poland,POL,1998,20736623820
Poland,POL,1999,21064276269
Poland,POL,2000,21381373530
Poland,POL,2001,21694919199
Poland,POL,2002,22000649742
Poland,POL,2003,22319065301
Poland,POL,2004,22641604250
Poland,POL,2005,22963273096
Poland,POL,2006,23297895918
Poland,POL,2007,23632261611
Poland,POL,2008,23959709823
Poland,POL,2009,24273854403
Poland,POL,2010,24605985114
Poland,POL,2011,24937679753
Poland,POL,2012,25261896375
Poland,POL,2013,25581807633
Poland,POL,2014,25889362760
Poland,POL,2015,26199977903
Poland,POL,2016,26522211857
Poland,POL,2017,26848816401
Russia,RUS,1900,0
Russia,RUS,1901,0
Russia,RUS,1902,0
Russia,RUS,1903,0
Russia,RUS,1904,0
Russia,RUS,1905,0
Russia,RUS,1906,0
Russia,RUS,1907,0
Russia,RUS,1908,0
Russia,RUS,1909,0
Russia,RUS,1910,0
Russia,RUS,1911,0
Russia,RUS,1912,0
Russia,RUS,1913,0
Russia,RUS,1914,0
Russia,RUS,1915,0
Russia,RUS,1916,0
Russia,RUS,1917,0
Russia,RUS,1918,0
Russia,RUS,1919,0
Russia,RUS,1920,0
Russia,RUS,1921,0
Russia,RUS,1922,0
Russia,RUS,1923,0
Russia,RUS,1924,0
Russia,RUS,1925,0
Russia,RUS,1926,0
Russia,RUS,1927,0
Russia,RUS,1928,0
Russia,RUS,1929,0
Russia,RUS,1930,0
Russia,RUS,1931,0
Russia,RUS,1932,0
Russia,RUS,1933,0
Russia,RUS,1934,0
Russia,RUS,1935,0
Russia,RUS,1936,0
Russia,RUS,1937,0
Russia,RUS,1938,0
Russia,RUS,1939,0
Russia,RUS,1940,0
Russia,RUS,1941,0
Russia,RUS,1942,0
Russia,RUS,1943,0
Russia,RUS,1944,0
Russia,RUS,1945,0
Russia,RUS,1946,0
Russia,RUS,1947,0
Russia,RUS,1948,0
Russia,RUS,1949,0
Russia,RUS,1950,0
Russia,RUS,1951,0
Russia,RUS,1952,0
Russia,RUS,1953,0
Russia,RUS,1954,0
Russia,RUS,1955,0
Russia,RUS,1956,0
Russia,RUS,1957,0
Russia,RUS,1958,0
Russia,RUS,1959,854787568
Russia,RUS,1960,1744770541
Russia,RUS,1961,2662596301
Russia,RUS,1962,3625914210
Russia,RUS,1963,4659020500
Russia,RUS,1964,5757742864
Russia,RUS,1965,6923301202
Russia,RUS,1966,8154218692
Russia,RUS,1967,9441344235
Russia,RUS,1968,10764649486
Russia,RUS,1969,12142799638
Russia,RUS,1970,13592370257
Russia,RUS,1971,15130612383
Russia,RUS,1972,16749027260
Russia,RUS,1973,18435781559
Russia,RUS,1974,20186753204
Russia,RUS,1975,22027253983
Russia,RUS,1976,23938580067
Russia,RUS,1977,25914876832
Russia,RUS,1978,27959001748
Russia,RUS,1979,30020011303
Russia,RUS,1980,32162101998
Russia,RUS,1981,34263323294
Russia,RUS,1982,36404102346
Russia,RUS,1983,38575191454
Russia,RUS,1984,40765480515
Russia,RUS,1985,43127612594
Russia,RUS,1986,45495762561
Russia,RUS,1987,47963487045
Russia,RUS,1988,50498774641
Russia,RUS,1989,52980491869
Russia,RUS,1990,55551702520
Russia,RUS,1991,57988740602
Russia,RUS,1992,59981958231
Russia,RUS,1993,61872893233
Russia,RUS,1994,63542530377
Russia,RUS,1995,65182793595
Russia,RUS,1996,66789742610
Russia,RUS,1997,68291880035
Russia,RUS,1998,69776732259
Russia,RUS,1999,71289716964
Russia,RUS,2000,72789333174
Russia,RUS,2001,74327577573
Russia,RUS,2002,75856539320
Russia,RUS,2003,77419011671
Russia,RUS,2004,78989875869
Russia,RUS,2005,80578538733
Russia,RUS,2006,82227197467
Russia,RUS,2007,83874926408
Russia,RUS,2008,85554720858
Russia,RUS,2009,87127159867
Russia,RUS,2010,88784720546
Russia,RUS,2011,90497145315
Russia,RUS,2012,92223244815
Russia,RUS,2013,93889233389
Russia,RUS,2014,95556344096
Russia,RUS,2015,97228239175
Russia,RUS,2016,98896309108
Russia,RUS,2017,100589103947
United Kingdom,GBR,1900,16734162176
United Kingdom,GBR,1901,17144863600
United Kingdom,GBR,1902,17571503424
United Kingdom,GBR,1903,18001488480
United Kingdom,GBR,1904,18433481408
United Kingdom,GBR,1905,18871153536
United Kingdom,GBR,1906,19324503920
United Kingdom,GBR,1907,19798072256
United Kingdom,GBR,1908,20260036704
United Kingdom,GBR,1909,20726123152
United Kingdom,GBR,1910,21195855280
United Kingdom,GBR,1911,21677205952
United Kingdom,GBR,1912,22133091824
United Kingdom,GBR,1913,22631414144
United Kingdom,GBR,1914,23114596816
United Kingdom,GBR,1915,23604077904
United Kingdom,GBR,1916,24111149856
United Kingdom,GBR,1917,24612319104
United Kingdom,GBR,1918,25079167664
United Kingdom,GBR,1919,25535299024
United Kingdom,GBR,1920,26005313280
United Kingdom,GBR,1921,26325118192
United Kingdom,GBR,1922,26753340864
United Kingdom,GBR,1923,27208233792
United Kingdom,GBR,1924,27684216704
United Kingdom,GBR,1925,28133873776
United Kingdom,GBR,1926,28380244800
United Kingdom,GBR,1927,28846979776
United Kingdom,GBR,1928,29284637248
United Kingdom,GBR,1929,29745330288
United Kingdom,GBR,1930,30186424592
United Kingdom,GBR,1931,30598661232
United Kingdom,GBR,1932,30994578416
United Kingdom,GBR,1933,31386750992
United Kingdom,GBR,1934,31809975968
United Kingdom,GBR,1935,32239107312
United Kingdom,GBR,1936,32692930352
United Kingdom,GBR,1937,33161090624
United Kingdom,GBR,1938,33610062528
United Kingdom,GBR,1939,34062518896
United Kingdom,GBR,1940,34537662752
United Kingdom,GBR,1941,35007343584
United Kingdom,GBR,1942,35476273296
United Kingdom,GBR,1943,35931122256
United Kingdom,GBR,1944,36373165536
United Kingdom,GBR,1945,36790806576
United Kingdom,GBR,1946,37226961808
United Kingdom,GBR,1947,37688259408
United Kingdom,GBR,1948,38163857600
United Kingdom,GBR,1949,38649004176
United Kingdom,GBR,1950,39149444288
United Kingdom,GBR,1951,39694281088
United Kingdom,GBR,1952,40222706832
United Kingdom,GBR,1953,40762795088
United Kingdom,GBR,1954,41315505824
United Kingdom,GBR,1955,41892149808
United Kingdom,GBR,1956,42466159376
United Kingdom,GBR,1957,43036556240
United Kingdom,GBR,1958,43592491296
United Kingdom,GBR,1959,44139097428
United Kingdom,GBR,1960,44723117446
United Kingdom,GBR,1961,45311732247
United Kingdom,GBR,1962,45904663746
United Kingdom,GBR,1963,46508049409
United Kingdom,GBR,1964,47115915398
United Kingdom,GBR,1965,47738027020
United Kingdom,GBR,1966,48356101686
United Kingdom,GBR,1967,48948158713
United Kingdom,GBR,1968,49554647017
United Kingdom,GBR,1969,50183029564
United Kingdom,GBR,1970,50835606959
United Kingdom,GBR,1971,51495995243
United Kingdom,GBR,1972,52144021692
United Kingdom,GBR,1973,52803599014
United Kingdom,GBR,1974,53420782903
United Kingdom,GBR,1975,54024030270
United Kingdom,GBR,1976,54622556620
United Kingdom,GBR,1977,55226918759
United Kingdom,GBR,1978,55831632748
United Kingdom,GBR,1979,56476146060
United Kingdom,GBR,1980,57055182034
United Kingdom,GBR,1981,57615737041
United Kingdom,GBR,1982,58163977997
United Kingdom,GBR,1983,58709463791
United Kingdom,GBR,1984,59238572677
United Kingdom,GBR,1985,59798200759
United Kingdom,GBR,1986,60366755544
United Kingdom,GBR,1987,60938424061
United Kingdom,GBR,1988,61508718917
United Kingdom,GBR,1989,62090296227
United Kingdom,GBR,1990,62691363779
United Kingdom,GBR,1991,63300384201
United Kingdom,GBR,1992,63893888327
United Kingdom,GBR,1993,64473291109
United Kingdom,GBR,1994,65048948495
United Kingdom,GBR,1995,65615782597
United Kingdom,GBR,1996,66204276059
United Kingdom,GBR,1997,66766760794
United Kingdom,GBR,1998,67334246973
